"lot","Sales_Count","Total_Profit"
"11B Lot",2407,64190
"11B-RV",173,15280
"4B Lot",800,20405
"4J Lot",233,6460
"A Lot",395,9875
"C1 Lot",565,14540
"CC1 Lot",163,4130
"FF2 Lot",188,4820
"GG1 Lot",343,8895
"H Lot",6,120
"L Lot",467,12345
"MV Lot",321,8240
"P1 Lot",406,11225
"P2 Lot",259,7100
"PH Lot",522,13525
"Regents Drive Garage",3364,89110
"Terrapin Trail Garage",1822,48570
"XX1/XVL",1116,29425
