"Event","Sales_Count","Total_Profit"
"UMD vs Charlotte",541,11075
"UMD vs Illinois",2161,54360
"UMD vs Indiana",2626,67870
"UMD vs Michigan",3118,97140
"UMD vs Penn State",2689,84450
"UMD vs Towson",1436,28900
"UMD vs Virginia",970,24250
NA,9,210
