Lot Name,Rate,Start Date,Event
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B-RV,80.00 ,9/9/2023,UMD vs Charlotte
11B-RV,80.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
L Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
